Titre ANSSI,Référence ANSSI,Type,Date,CVE,CVSS,Sévérité,CWE,Description,EPSS,Lien,Editeur,Produit,Versions affectées
Vulnérabilité dans les produits Fortinet,CERTFR-2022-ALE-011,Alerte,2024-10-23 13:28:36.659000,CVE-2022-40684,9.8,CRITICAL,Non disponible,"An authentication bypass using an alternate path or channel [CWE-288] in Fortinet FortiOS version 7.2.0 through 7.2.1 and 7.0.0 through 7.0.6, FortiProxy version 7.2.0 and version 7.0.0 through 7.0.6 and FortiSwitchManager version 7.2.0 and 7.0.0 allows an unauthenticated atttacker to perform operations on the administrative interface via specially crafted HTTP or HTTPS requests.",0.9728,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-011/,Fortinet,"Fortinet FortiOS, FortiProxy, FortiSwitchManager","FortiOS 7.2.1, 7.2.0, 7.0.6, 7.0.5, 7.0.4, 7.0.3, 7.0.2, 7.0.1, 7.0.0; FortiProxy 7.2.0, 7.0.6, 7.0.5, 7.0.4, 7.0.3, 7.0.2, 7.0.1, 7.0.0; FortiSwitchManager 7.2.0, 7.0.0"
[MàJ] Vulnérabilité dans FortiOS SSL-VPN,CERTFR-2022-ALE-012,Alerte,2024-10-23 13:27:24.950000,CVE-2022-42475,9.3,CRITICAL,CWE-197,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS SSL-VPN 7.2.0 through 7.2.2, 7.0.0 through 7.0.8, 6.4.0 through 6.4.10, 6.2.0 through 6.2.11, 6.0.15 and earlier  and FortiProxy SSL-VPN 7.2.0 through 7.2.1, 7.0.7 and earlier may allow a remote unauthenticated attacker to execute arbitrary code or commands via specifically crafted requests.",0.25733,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-012/,Fortinet,FortiOS,"7.2.0, 7.0.0, 6.4.0, 6.2.0, 6.0.0, 5.6.0, 5.4.0, 5.2.0, 5.0.0"
[MàJ] Vulnérabilité dans Citrix ADC et Gateway,CERTFR-2022-ALE-013,Alerte,2024-08-03 05:32:59.829000,CVE-2022-27518,9.8,CRITICAL,CWE-664,"Unauthenticated remote arbitrary code execution
",0.19032,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-013/,Citrix,"Citrix Gateway, Citrix ADC ","12.1, 13.0, 12.1 FIPs, NDcPP"
Multiples vulnérabilités dans AMI MegaRAC,CERTFR-2022-ALE-014,Alerte,2024-08-03 12:14:39.961000,CVE-2022-40259,8.3,HIGH,CWE-798,MegaRAC Default Credentials Vulnerability,0.00261,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,AMI,MegaRAC SPx13,0
Multiples vulnérabilités dans AMI MegaRAC,CERTFR-2022-ALE-014,Alerte,2024-08-03 00:52:58.821000,CVE-2022-2827,7.5,HIGH,CWE-200,AMI MegaRAC User Enumeration Vulnerability,0.0015,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,AMI,MegaRAC SPx13,0
Multiples vulnérabilités dans AMI MegaRAC,CERTFR-2022-ALE-014,Alerte,2024-08-03 12:14:39.893000,CVE-2022-40242,7.5,HIGH,CWE-798,MegaRAC Default Credentials Vulnerability,0.00201,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,AMI,MegaRAC SPx13,0
[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi,CERTFR-2023-ALE-015,Alerte,2024-08-04 07:52:20.539000,CVE-2020-3992,0.0,NONE,Non disponible,"OpenSLP as used in VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG) has a use-after-free issue. A malicious actor residing in the management network who has access to port 427 on an ESXi machine may be able to trigger a use-after-free in the OpenSLP service resulting in remote code execution.",0.40205,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,Non disponible,VMware ESXi,"VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG)"
[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi,CERTFR-2023-ALE-015,Alerte,2024-08-03 18:30:23.578000,CVE-2021-21974,0.0,NONE,Non disponible,"OpenSLP as used in ESXi (7.0 before ESXi70U1c-17325551, 6.7 before ESXi670-202102401-SG, 6.5 before ESXi650-202102101-SG) has a heap-overflow vulnerability. A malicious actor residing within the same network segment as ESXi who has access to port 427 may be able to trigger the heap-overflow issue in OpenSLP service resulting in remote code execution.",0.90461,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,Non disponible,VMware Cloud Foundation,4.x before 4.2 and 3.x
Vulnérabilité dans Fortinet FortiOS,CERTFR-2023-ALE-001,Alerte,2024-10-23 13:26:26.301000,CVE-2022-41328,6.5,MEDIUM,CWE-22,"A improper limitation of a pathname to a restricted directory vulnerability ('path traversal') [CWE-22] in Fortinet FortiOS version 7.2.0 through 7.2.3, 7.0.0 through 7.0.9 and before 6.4.11 allows a privileged attacker to read and write files on the underlying Linux system via crafted CLI commands.",0.08104,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-001/,Fortinet,FortiOS,"7.2.0, 7.0.0, 6.4.0, 6.2.0, 6.0.0"
[MàJ] Vulnérabilité dans Microsoft Outlook,CERTFR-2023-ALE-002,Alerte,2025-01-01 00:48:07.606000,CVE-2023-23397,9.8,CRITICAL,CWE-20,Microsoft Outlook Elevation of Privilege Vulnerability,0.8836,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-002/,Microsoft,Microsoft Outlook 2013 Service Pack 1,15.0.0.0
[MàJ] Vulnérabilité dans Microsoft Outlook,CERTFR-2023-ALE-002,Alerte,2025-01-01 01:38:08.708000,CVE-2023-29324,6.5,MEDIUM,CWE-73,Windows MSHTML Platform Security Feature Bypass Vulnerability,0.11624,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-002/,Microsoft,Windows Server 2012 R2 (Server Core installation),6.3.9600.0
Vulnérabilité dans les produits Fortinet,CERTFR-2023-ALE-004,Alerte,2024-10-23 13:18:14.745000,CVE-2023-27997,9.2,CRITICAL,CWE-122,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",0.10651,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,Fortinet,FortiOS,"7.2.0, 7.0.0, 6.4.0, 6.2.0, 6.0.0"
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer,CERTFR-2023-ALE-005,Alerte,2024-08-02 16:10:06.378000,CVE-2023-34362,9.8,CRITICAL,CWE-89,"In Progress MOVEit Transfer before 2021.0.6 (13.0.6), 2021.1.4 (13.1.4), 2022.0.4 (14.0.4), 2022.1.5 (14.1.5), and 2023.0.1 (15.0.1), a SQL injection vulnerability has been found in the MOVEit Transfer web application that could allow an unauthenticated attacker to gain access to MOVEit Transfer's database. Depending on the database engine being used (MySQL, Microsoft SQL Server, or Azure SQL), an attacker may be able to infer information about the structure and contents of the database, and execute SQL statements that alter or delete database elements. NOTE: this is exploited in the wild in May and June 2023; exploitation of unpatched systems can occur via HTTP or HTTPS. All versions (e.g., 2020.0 and 2019x) before the five explicitly mentioned versions are affected, including older unsupported versions.",0.97131,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,progress,moveit_cloud,14.0.5.45
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer,CERTFR-2023-ALE-005,Alerte,2025-01-03 18:41:17.905000,CVE-2023-35036,0.0,NONE,Non disponible,"In Progress MOVEit Transfer before 2021.0.7 (13.0.7), 2021.1.5 (13.1.5), 2022.0.5 (14.0.5), 2022.1.6 (14.1.6), and 2023.0.2 (15.0.2), SQL injection vulnerabilities have been found in the MOVEit Transfer web application that could allow an unauthenticated attacker to gain unauthorized access to MOVEit Transfer's database. An attacker could submit a crafted payload to a MOVEit Transfer application endpoint that could result in modification and disclosure of MOVEit database content.",0.00189,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,Non disponible,Non disponible,Non disponible
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer,CERTFR-2023-ALE-005,Alerte,2024-12-17 17:08:40.750000,CVE-2023-35708,0.0,NONE,Non disponible,"In Progress MOVEit Transfer before 2021.0.8 (13.0.8), 2021.1.6 (13.1.6), 2022.0.6 (14.0.6), 2022.1.7 (14.1.7), and 2023.0.3 (15.0.3), a SQL injection vulnerability has been identified in the MOVEit Transfer web application that could allow an unauthenticated attacker to gain unauthorized access to MOVEit Transfer's database. An attacker could submit a crafted payload to a MOVEit Transfer application endpoint that could result in modification and disclosure of MOVEit database content. These are fixed versions of the DLL drop-in: 2020.1.10 (12.1.10), 2021.0.8 (13.0.8), 2021.1.6 (13.1.6), 2022.0.6 (14.0.6), 2022.1.7 (14.1.7), and 2023.0.3 (15.0.3).",0.00476,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,Non disponible,Non disponible,Non disponible
Vulnérabilité dans les produits Microsoft,CERTFR-2023-ALE-006,Alerte,2025-01-01 01:59:03.473000,CVE-2023-36884,7.5,HIGH,CWE-362,Windows Search Remote Code Execution Vulnerability,0.23681,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Microsoft,Windows Server 2012 R2 (Server Core installation),6.3.9600.0
[MàJ] Vulnérabilité dans Zimbra Collaboration Suite,CERTFR-2023-ALE-007,Alerte,2024-10-18 20:32:33.497000,CVE-2023-37580,0.0,NONE,Non disponible,Zimbra Collaboration (ZCS) 8 before 8.8.15 Patch 41 allows XSS in the Zimbra Classic Web Client.,0.3451,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/,Non disponible,Non disponible,Non disponible
[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway,CERTFR-2023-ALE-008,Alerte,2024-08-02 06:55:03.597000,CVE-2023-3519,9.8,CRITICAL,CWE-94,"Unauthenticated remote code execution
",0.964,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/,Citrix,NetScaler Gateway,"13.1, 13.0"
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile,CERTFR-2023-ALE-009,Alerte,2024-08-02 16:23:57.598000,CVE-2023-35078,10.0,CRITICAL,CWE-287,An authentication bypass vulnerability in Ivanti EPMM allows unauthorized users to access restricted functionality or resources of the application without proper authentication.,0.96922,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,Ivanti,Endpoint Manager Mobile,Non disponible
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile,CERTFR-2023-ALE-009,Alerte,2024-08-02 16:23:58.384000,CVE-2023-35082,10.0,CRITICAL,Non disponible,"An authentication bypass vulnerability in Ivanti EPMM 11.10 and older, allows unauthorized users to access restricted functionality or resources of the application without proper authentication. This vulnerability is unique to CVE-2023-35078 announced earlier.",0.96039,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,Ivanti,EPMM,11.10
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile,CERTFR-2023-ALE-009,Alerte,2024-10-17 14:11:56.122000,CVE-2023-35081,7.2,HIGH,Non disponible,"A path traversal vulnerability in Ivanti EPMM versions (11.10.x < 11.10.0.3,  11.9.x < 11.9.1.2 and 11.8.x < 11.8.1.2) allows an authenticated administrator to write arbitrary files onto the appliance.",0.77298,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,Ivanti,EPMM,11.10.0.3
Multiples vulnérabilités dans Exim,CERTFR-2023-ALE-010,Alerte,2024-09-18 18:30:12.268000,CVE-2023-42119,3.1,LOW,CWE-125,"Exim dnsdb Out-Of-Bounds Read Information Disclosure Vulnerability. This vulnerability allows network-adjacent attackers to disclose sensitive information on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated buffer. An attacker can leverage this in conjunction with other vulnerabilities to execute arbitrary code in the context of the service account.
. Was ZDI-CAN-17643.",0.00065,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Exim,Exim,exim 4.96-RC0-14-24b8ed847-XX
Multiples vulnérabilités dans Exim,CERTFR-2023-ALE-010,Alerte,2024-08-02 19:16:50.392000,CVE-2023-42117,8.1,HIGH,CWE-138,"Exim Improper Neutralization of Special Elements Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-17554.",0.00065,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Exim,Exim,4.96-RC1-11-315206fbf
Multiples vulnérabilités dans Exim,CERTFR-2023-ALE-010,Alerte,2024-09-18 18:30:09.394000,CVE-2023-42114,3.7,LOW,CWE-125,"Exim NTLM Challenge Out-Of-Bounds Read Information Disclosure Vulnerability. This vulnerability allows remote attackers to disclose sensitive information on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of NTLM challenge requests. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated data structure. An attacker can leverage this vulnerability to disclose information in the context of the service account.
. Was ZDI-CAN-17433.",0.00065,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Exim,Exim,exim 4.95
Multiples vulnérabilités dans Exim,CERTFR-2023-ALE-010,Alerte,2024-09-18 18:30:10.809000,CVE-2023-42116,8.1,HIGH,CWE-121,"Exim SMTP Challenge Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of NTLM challenge requests. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17515.",0.00065,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Exim,Exim,exim 4.95
Multiples vulnérabilités dans Exim,CERTFR-2023-ALE-010,Alerte,2024-09-18 18:30:11.548000,CVE-2023-42118,7.5,HIGH,CWE-191,"Exim libspf2 Integer Underflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Exim libspf2. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the parsing of SPF macros. When parsing SPF macros, the process does not properly validate user-supplied data, which can result in an integer underflow before writing to memory. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17578.",0.00065,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Exim,libspf2,exim 4.96-RC0-14-24b8ed847-XX
Multiples vulnérabilités dans Exim,CERTFR-2023-ALE-010,Alerte,2024-09-20 19:51:52.263000,CVE-2023-42115,9.8,CRITICAL,CWE-787,"Exim AUTH Out-Of-Bounds Write Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a write past the end of a buffer. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17434.",0.00075,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Exim,Exim,exim 4.95
[MàJ] Multiples vulnérabilités dans Cisco IOS XE,CERTFR-2023-ALE-011,Alerte,2024-10-23 18:57:38.005000,CVE-2023-20273,7.2,HIGH,CWE-78,"A vulnerability in the web UI feature of Cisco IOS XE Software could allow an authenticated, remote attacker to inject commands with the privileges of root. This vulnerability is due to insufficient input validation. An attacker could exploit this vulnerability by sending crafted input to the web UI. A successful exploit could allow the attacker to inject commands to the underlying operating system with root privileges.",0.05724,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,Cisco,Cisco IOS XE Software,"16.1.1, 16.1.2, 16.1.3, 16.2.1, 16.2.2, 16.3.1, 16.3.2, 16.3.3, 16.3.1a, 16.3.4, 16.3.5, 16.3.5b, 16.3.6, 16.3.7, 16.3.8, 16.3.9, 16.3.10, 16.3.11, 16.4.1, 16.4.2, 16.4.3, 16.5.1, 16.5.1a, 16.5.1b, 16.5.2, 16.5.3, 16.6.1, 16.6.2, 16.6.3, 16.6.4, 16.6.5, 16.6.4a, 16.6.5a, 16.6.6, 16.6.7, 16.6.8, 16.6.9, 16.6.10, 16.7.1, 16.7.1a, 16.7.1b, 16.7.2, 16.7.3, 16.7.4, 16.8.1, 16.8.1a, 16.8.1b, 16.8.1s, 16.8.1c, 16.8.1d, 16.8.2, 16.8.1e, 16.8.3, 16.9.1, 16.9.2, 16.9.1a, 16.9.1b, 16.9.1s, 16.9.3, 16.9.4, 16.9.3a, 16.9.5, 16.9.5f, 16.9.6, 16.9.7, 16.9.8, 16.10.1, 16.10.1a, 16.10.1b, 16.10.1s, 16.10.1c, 16.10.1e, 16.10.1d, 16.10.2, 16.10.1f, 16.10.1g, 16.10.3, 16.11.1, 16.11.1a, 16.11.1b, 16.11.2, 16.11.1s, 16.12.1, 16.12.1s, 16.12.1a, 16.12.1c, 16.12.1w, 16.12.2, 16.12.1y, 16.12.2a, 16.12.3, 16.12.8, 16.12.2s, 16.12.1x, 16.12.1t, 16.12.4, 16.12.3s, 16.12.3a, 16.12.4a, 16.12.5, 16.12.6, 16.12.1z1, 16.12.5a, 16.12.5b, 16.12.1z2, 16.12.6a, 16.12.7, 16.12.9, 16.12.10, 17.1.1, 17.1.1a, 17.1.1s, 17.1.1t, 17.1.3, 17.2.1, 17.2.1r, 17.2.1a, 17.2.1v, 17.2.2, 17.2.3, 17.3.1, 17.3.2, 17.3.3, 17.3.1a, 17.3.1w, 17.3.2a, 17.3.1x, 17.3.1z, 17.3.4, 17.3.5, 17.3.4a, 17.3.6, 17.3.4b, 17.3.4c, 17.3.5a, 17.3.5b, 17.3.7, 17.3.8, 17.4.1, 17.4.2, 17.4.1a, 17.4.1b, 17.4.2a, 17.5.1, 17.5.1a, 17.5.1b, 17.5.1c, 17.6.1, 17.6.2, 17.6.1w, 17.6.1a, 17.6.1x, 17.6.3, 17.6.1y, 17.6.1z, 17.6.3a, 17.6.4, 17.6.1z1, 17.6.5, 17.6.6, 17.7.1, 17.7.1a, 17.7.1b, 17.7.2, 17.10.1, 17.10.1a, 17.10.1b, 17.8.1, 17.8.1a, 17.9.1, 17.9.1w, 17.9.2, 17.9.1a, 17.9.1x, 17.9.1y, 17.9.3, 17.9.2a, 17.9.1x1, 17.9.3a, 17.9.4, 17.9.1y1, 17.11.1, 17.11.1a, 17.12.1, 17.12.1a, 17.11.99SW"
